IDCliente;Cliente;Estado;Sexo;Status
55;Brites Morales;SC;F;Silver
56;Bruno Perdigão;MS;M;Silver
57;Bráulio Junquera;PB;M;Silver
58;Brígida Gusmão;DF;F;Silver
59;Bukake Núñez;SC;F;Silver
60;Bárbara Magalhães;MG;F;Silver
61;Calisto Britto;RN;M;Silver
62;Capitolina Ruela;PI;F;Silver
63;Capitolina Valadares;GO;F;Silver
64;Carla Briones;AC;F;Silver
65;Carlos Murici;MG;M;Silver
66;Carmem Reino;CE;F;Silver
67;Carminda Alcaide;RO;F;Silver
68;Carminda Dias;AM;F;Gold
69;Catarina Bairros;PA;F;Silver
70;Catarina Montero;PI;F;Silver
71;Cauê Cotrim;PE;M;Silver
72;Cauê Parahyba;PA;M;Silver
73;Caím Queiroga;PA;M;Silver
74;Cecília Carlos;AP;F;Silver
75;Celestino Pereira;RS;M;Silver
76;Celina Vale;AL;F;Silver
77;Cesário Raminhos;RR;M;Silver
78;Cid Pardo;AL;M;Silver
79;Cidália Miera;SE;F;Silver
80;Cidália Ornelas;RS;F;Silver
81;Clotilde Carvalhoso;BA;F;Silver
82;Cláudio Cotegipe;MT;M;Silver
83;Cláudio Jorge;TO;M;Gold
84;Cláudio Lopes;BA;M;Silver
85;Clóvis Pamplona;PB;M;Silver
86;Constantino Pedroso;AC;M;Silver
87;Constança Alcaide;GO;M;Silver
88;Corina Dâmaso;CE;F;Silver
89;Cosme Ipanema;PI;M;Silver
90;Cosme Lira;PR;M;Silver
91;Cosme Zambujal;BA;M;Silver
92;Crispim Cordero;SC;M;Silver
93;Crispim Macena;AP;M;Silver
94;Cristiana Campello;RN;F;Silver
95;Custódio Gonçalves;DF;M;Silver
96;Custódio Rolim;ES;M;Silver
97;Cássia Guerra;MG;F;Silver
98;Cássia Queiroz;AM;F;Silver
99;Cássio Bettencourt;BA;M;Silver
100;Cândida Silvestre;MG;F;Silver
101;Cândido Sousa do Prado;PR;M;Silver
102;Célia Meireles;CE;F;Silver
103;David Brás;RJ;M;Silver
104;David Carvalhais;RJ;M;Silver
105;Davide Alcántara;MA;M;Silver
106;Davide Fraga;SC;M;Silver
107;Deise Farias;AM;F;Silver
108;Deise Laureano;PI;F;Silver
109;Deise Meneses;DF;F;Silver
110;Deolinda Castelbranco;RO;F;Silver
111;Deolinda Castella;RJ;F;Silver
112;Derli Lozada;RJ;F;Silver
113;Diana Baptista;AM;F;Silver
114;Dinarte Mangueira;DF;F;Silver
115;Dinarte Marino;MS;F;Silver
116;Dinarte Tabalipa;RS;F;Silver
117;Dinarte Tabares;RR;F;Silver
118;Diodete Carijó;PB;F;Silver
119;Diodete Queiroga;GO;F;Silver
120;Diogo Simón;BA;M;Silver
121;Dionísio Saltão;PR;M;Gold
122;Dora Galvão;MT;F;Silver
123;Dora Rocha;DF;F;Silver
124;Doroteia Quintanilla;RR;F;Silver
125;Duarte Sampaio;RJ;M;Silver
126;Dulce Prado;AC;F;Silver
127;Dulce Tomé;CE;F;Silver
128;Délia Chousa;PB;F;Silver
129;Délio Paranhos;BA;M;Silver
130;Eduarda Borba;MA;F;Silver
131;Eduarda Madureira;DF;F;Silver
132;Eloi Meneses;CE;M;Silver
133;Eloi Pereira;PA;M;Silver
134;Eloi Vasques;RN;M;Silver
135;Elsa Alencar;RJ;F;Silver
136;Elsa Barreto;MA;F;Silver
137;Elvira Açores;SC;F;Silver
138;Eládio Froes;AM;M;Silver
139;Ema Nieves;GO;F;Silver
140;Emiliana Villalobos;RO;F;Silver
141;Epaminondas Sousa de Arronches;MS;M;Silver
142;Ermelinda Casquero;AM;F;Silver
143;Estefânia Cyrne;RO;F;Silver
144;Estela Mattos;PI;F;Silver
145;Ester Castanho;AC;F;Silver
146;Ester Dantas;SP;F;Silver
147;Estêvão Simão;DF;M;Silver
148;Eusébio Bairros;SP;M;Silver
149;Eusébio Mata;PI;M;Silver
150;Eusébio Pacheco;TO;M;Silver
151;Eusébio Salomão;AC;M;Silver
152;Evaristo Bahía;AC;M;Silver
153;Fabiano Bethancout;PB;M;Silver
154;Fabrício Varella;AM;M;Silver
155;Fabrício Vidal;AL;M;Silver
156;Faustino Maranhão;PI;M;Silver
157;Fausto Miranda;AP;M;Silver
158;Fausto Montenegro;SE;M;Silver
159;Feliciana Silvera;AC;F;Silver
160;Feliciano Franca;PA;M;Silver
161;Felicidade Aldea;SE;F;Silver
162;Filipa Mattozo;MA;F;Silver
163;Filipe Lamego;AL;M;Silver
164;Firmina Carrasco;TO;F;Silver
165;Firmino Galván;MA;M;Silver
166;Firmino Meireles;AM;M;Gold
167;Firmino Puentes;PB;M;Silver
168;Flamínia Miera;MT;F;Silver
169;Flor Ginjeira;ES;M;Silver
170;Flor Vilanova;CE;M;Platinum
171;Floriano Orriça;AP;M;Silver
172;Floriano Siebra;MS;M;Silver
173;Florinda Assunção;PI;F;Silver
174;Florêncio Lameiras;PR;M;Silver
175;Florêncio Vieira;PA;M;Silver
176;Flávia Camacho;BA;F;Silver
177;Flávia Campos;RR;F;Silver
178;Francisca Ramallo;RJ;F;Silver
179;Francisca Teodoro;SE;F;Silver
180;Francisco Medina;PA;M;Silver
181;Galindo Bettencourt;RN;M;Silver
182;Garibaldo Oleiro;RO;M;Silver
183;Gaudêncio Ipiranga;RR;M;Silver
184;Germana Conde;AM;F;Silver
185;Gertrudes Hidalgo;PA;F;Silver
186;Gertrudes Infante;RS;F;Silver
187;Gertrudes Rabello;SC;F;Silver
188;Gilberto Moutinho;PB;M;Silver
189;Gilda Parente;RR;F;Silver
190;Ginéculo Luz;RJ;M;Silver
191;Gisela Bahia;SP;F;Silver
192;Gisela Candeias;SC;F;Silver
193;Gláuber Guedella;RS;M;Silver
194;Gláucia Canela;RO;F;Silver
195;Godinho ou Godim Fogaça;RN;M;Silver
196;Godinho ou Godim Jácome;RN;M;Silver
197;Godofredo Mascareñas;SP;M;Silver
198;Godofredo Quiroga;BA;M;Silver
199;Gomes Hurtado;AC;M;Silver
200;Gonçalo Figueiró;PI;M;Silver
201;Graça Tabosa;RN;F;Silver
202;Greice Lameirinhas;PI;F;Silver
203;Guadalupe Rodrigues;SC;F;Silver
204;Guadalupe Telinhos;AL;F;Silver
205;Guaraci Imbassaí;PB;F;Silver
206;Gueda Cartaxo;MS;F;Silver
207;Gueda Laureano;BA;F;Silver
208;Guida Beiriz;AP;F;Silver
209;Guilhermina Hurtado;PA;F;Silver
210;Guilhermina Vilaça;BA;F;Silver
211;Hedviges Lessa;MG;F;Silver
212;Heloísa Cayubi;MS;F;Silver
213;Herberto Castro;MA;M;Silver
214;Herberto Pari;BA;M;Silver
215;Herculano Viveiros;RN;M;Silver
216;Hermano Diegues;ES;M;Silver
217;Hermígio Cezar;SP;M;Silver
218;Hermígio Villaverde;MA;M;Silver
219;Honorina Camarinho;PR;F;Silver
220;Honorina Villaverde;PE;F;Gold
221;Honório Mafra;RR;M;Silver
222;Horácio Pires;MG;M;Silver
223;Hugo Covilhã;CE;M;Silver
224;Humberto Almeida;AC;M;Silver
225;Humberto Lemes;BA;M;Silver
226;Humberto Morgado;SP;M;Silver
227;Humberto Vergueiro;MG;M;Silver
228;Hélder Brión;PB;M;Silver
229;Hélder Valentín;AL;M;Silver
230;Ibijara Botelho;RR;F;Platinum
231;Ifigénia Lustosa;PE;F;Silver
232;Ifigénia Pires;PA;F;Silver
233;Ilduara Chávez;MT;F;Silver
234;Ingrit Mayor;SC;M;Silver
235;Inês Neres;CE;F;Silver
236;Iolanda Rabello;PB;F;Silver
237;Iracema Rodríguez;BA;F;Gold
238;Iraci Alcoforado;MS;F;Silver
239;Irani Jaguariúna;AM;F;Silver
240;Irene Meireles;MS;F;Silver
241;Irene Villanueva;AC;F;Silver
242;Isabel Meirelles;RO;F;Silver
243;Israel Canela;RN;M;Silver
244;Iuri Guterres;GO;M;Silver
245;Jacinto Dorneles;MG;M;Silver
246;Jandaíra Albuquerque;SP;F;Silver
247;Joana Ataí;GO;F;Platinum
248;Joaquim Hurtado;AP;M;Silver
249;Joaquim Mieiro;TO;M;Silver
250;Joaquina Vasconcelos;SC;F;Silver
